"county","period","Deficiency","Cases"
"Baringo","2022-05-29","underweight_child",914
"Baringo","2022-05-29","acute_malnutrition",22
"Baringo","2022-05-29","diarrhoea_cases",2897
"Baringo","2022-05-29","stunted_child",314
"Baringo","2022-06-26","total_dewormed",2400
"Baringo","2022-06-26","underweight_child",739
"Baringo","2022-06-26","acute_malnutrition",17
"Baringo","2022-06-26","diarrhoea_cases",2056
"Baringo","2022-06-26","stunted_child",607
"Baringo","2022-07-31","total_dewormed",3517
"Baringo","2022-07-31","underweight_child",1116
"Baringo","2022-07-31","acute_malnutrition",1
"Baringo","2022-07-31","diarrhoea_cases",2045
"Baringo","2022-07-31","stunted_child",377
"Baringo","2022-08-28","total_dewormed",4503
"Baringo","2022-08-28","underweight_child",1419
"Baringo","2022-08-28","acute_malnutrition",2
"Baringo","2022-08-28","diarrhoea_cases",2550
"Baringo","2022-08-28","stunted_child",525
"Baringo","2022-09-25","total_dewormed",16913
"Baringo","2022-09-25","underweight_child",1322
"Baringo","2022-09-25","acute_malnutrition",20
"Baringo","2022-09-25","diarrhoea_cases",2594
"Baringo","2022-09-25","stunted_child",738
"Baringo","2022-10-30","total_dewormed",30446
"Baringo","2022-10-30","underweight_child",2050
"Baringo","2022-10-30","acute_malnutrition",19
"Baringo","2022-10-30","diarrhoea_cases",3171
"Baringo","2022-10-30","stunted_child",908
"Baringo","2022-11-27","total_dewormed",5039
"Baringo","2022-11-27","underweight_child",2068
"Baringo","2022-11-27","acute_malnutrition",7
"Baringo","2022-11-27","diarrhoea_cases",2337
"Baringo","2022-11-27","stunted_child",1274
"Baringo","2020-12-27","total_dewormed",1917
"Baringo","2020-12-27","underweight_child",189
"Baringo","2020-12-27","acute_malnutrition",4
"Baringo","2020-12-27","diarrhoea_cases",895
"Baringo","2020-12-27","stunted_child",638
"Baringo","2021-01-31","total_dewormed",4376
"Baringo","2021-01-31","underweight_child",391
"Baringo","2021-01-31","acute_malnutrition",1
"Baringo","2021-01-31","diarrhoea_cases",1599
"Baringo","2021-01-31","stunted_child",172
"Baringo","2021-02-28","total_dewormed",4291
"Baringo","2021-02-28","underweight_child",532
"Baringo","2021-02-28","acute_malnutrition",8
"Baringo","2021-02-28","diarrhoea_cases",2331
"Baringo","2021-02-28","stunted_child",268
"Baringo","2021-03-28","total_dewormed",3306
"Baringo","2021-03-28","underweight_child",566
"Baringo","2021-03-28","acute_malnutrition",4
"Baringo","2021-03-28","diarrhoea_cases",1847
"Baringo","2021-03-28","stunted_child",246
"Baringo","2021-04-25","total_dewormed",13782
"Baringo","2021-04-25","underweight_child",599
"Baringo","2021-04-25","acute_malnutrition",2
"Baringo","2021-04-25","diarrhoea_cases",2131
"Baringo","2021-04-25","stunted_child",302
"Baringo","2021-05-30","total_dewormed",24348
"Baringo","2021-05-30","underweight_child",512
"Baringo","2021-05-30","acute_malnutrition",18.8
"Baringo","2021-05-30","diarrhoea_cases",2705
"Baringo","2021-05-30","stunted_child",334
"Baringo","2021-06-27","total_dewormed",4067
"Baringo","2021-06-27","underweight_child",589.5
"Baringo","2021-06-27","acute_malnutrition",1
"Baringo","2021-06-27","diarrhoea_cases",2387
"Baringo","2021-06-27","stunted_child",329
"Baringo","2021-08-01","total_dewormed",3153
"Baringo","2021-08-01","underweight_child",403
"Baringo","2021-08-01","acute_malnutrition",2
"Baringo","2021-08-01","diarrhoea_cases",2465
"Baringo","2021-08-01","stunted_child",276
"Baringo","2021-08-29","total_dewormed",4715
"Baringo","2021-08-29","underweight_child",668
"Baringo","2021-08-29","acute_malnutrition",3
"Baringo","2021-08-29","diarrhoea_cases",2411
"Baringo","2021-08-29","stunted_child",305
"Baringo","2021-09-26","total_dewormed",3745
"Baringo","2021-09-26","underweight_child",472
"Baringo","2021-09-26","acute_malnutrition",21.4
"Baringo","2021-09-26","diarrhoea_cases",2290
"Baringo","2021-09-26","stunted_child",433
"Baringo","2021-10-31","total_dewormed",31867
"Baringo","2021-10-31","underweight_child",454
"Baringo","2021-10-31","acute_malnutrition",2
"Baringo","2021-10-31","diarrhoea_cases",2622
"Baringo","2021-10-31","stunted_child",277
"Baringo","2021-11-28","total_dewormed",6114
"Baringo","2021-11-28","underweight_child",454
"Baringo","2021-11-28","acute_malnutrition",7
"Baringo","2021-11-28","diarrhoea_cases",2159
"Baringo","2021-11-28","stunted_child",272
"Bomet","2023-01-01","total_dewormed",1580
"Bomet","2023-01-01","underweight_child",143
"Bomet","2023-01-01","acute_malnutrition",5.6
"Bomet","2023-01-01","diarrhoea_cases",1984
"Bomet","2023-01-01","stunted_child",75.4
"Bomet","2023-01-29","total_dewormed",2326
"Bomet","2023-01-29","underweight_child",242
"Bomet","2023-01-29","acute_malnutrition",4
"Bomet","2023-01-29","diarrhoea_cases",5053
"Bomet","2023-01-29","stunted_child",347.8
"Bomet","2023-02-26","total_dewormed",2011
"Bomet","2023-02-26","underweight_child",312
"Bomet","2023-02-26","acute_malnutrition",2
"Bomet","2023-02-26","diarrhoea_cases",3461
"Bomet","2023-02-26","stunted_child",12
"Bomet","2023-03-26","total_dewormed",1125
"Bomet","2023-03-26","underweight_child",354
"Bomet","2023-03-26","acute_malnutrition",22.6
"Bomet","2023-03-26","diarrhoea_cases",1538
"Bomet","2023-03-26","stunted_child",192.8
"Bomet","2023-04-30","total_dewormed",3207
"Bomet","2023-04-30","underweight_child",357
"Bomet","2023-04-30","acute_malnutrition",25.2
"Bomet","2023-04-30","diarrhoea_cases",1359
"Bomet","2023-04-30","stunted_child",232.8
"Bomet","2023-05-28","total_dewormed",2873
"Bomet","2023-05-28","underweight_child",362
"Bomet","2023-05-28","acute_malnutrition",8.4
"Bomet","2023-05-28","diarrhoea_cases",1605
"Bomet","2023-05-28","stunted_child",190.4
"Bomet","2021-12-26","total_dewormed",1933
"Bomet","2021-12-26","underweight_child",342
"Bomet","2021-12-26","acute_malnutrition",7.8
"Bomet","2021-12-26","diarrhoea_cases",2840
"Bomet","2021-12-26","stunted_child",179.2
"Bomet","2022-01-30","total_dewormed",1401
"Bomet","2022-01-30","underweight_child",261
"Bomet","2022-01-30","acute_malnutrition",9.4
"Bomet","2022-01-30","diarrhoea_cases",2133
"Bomet","2022-01-30","stunted_child",19
"Bomet","2022-02-27","total_dewormed",1388
"Bomet","2022-02-27","underweight_child",293
"Bomet","2022-02-27","acute_malnutrition",13.2
"Bomet","2022-02-27","diarrhoea_cases",1973
"Bomet","2022-02-27","stunted_child",133
"Bomet","2022-03-27","total_dewormed",1564
"Bomet","2022-03-27","underweight_child",277
"Bomet","2022-03-27","acute_malnutrition",32.2
"Bomet","2022-03-27","diarrhoea_cases",2464
"Bomet","2022-03-27","stunted_child",94
"Bomet","2022-05-01","total_dewormed",2039
"Bomet","2022-05-01","underweight_child",204
"Bomet","2022-05-01","acute_malnutrition",1
"Bomet","2022-05-01","diarrhoea_cases",2015
"Bomet","2022-05-01","stunted_child",9
"Bomet","2022-05-29","total_dewormed",1885
"Bomet","2022-05-29","underweight_child",247
"Bomet","2022-05-29","acute_malnutrition",1
"Bomet","2022-05-29","diarrhoea_cases",1567
"Bomet","2022-05-29","stunted_child",5
"Bomet","2022-06-26","total_dewormed",1452
"Bomet","2022-06-26","underweight_child",212
"Bomet","2022-06-26","acute_malnutrition",19.8
"Bomet","2022-06-26","diarrhoea_cases",1777
"Bomet","2022-06-26","stunted_child",134.2
"Bomet","2022-07-31","total_dewormed",1118
"Bomet","2022-07-31","underweight_child",282
"Bomet","2022-07-31","acute_malnutrition",1
"Bomet","2022-07-31","diarrhoea_cases",2084
"Bomet","2022-07-31","stunted_child",7
"Bomet","2022-08-28","total_dewormed",893
"Bomet","2022-08-28","underweight_child",309
"Bomet","2022-08-28","acute_malnutrition",23.6
"Bomet","2022-08-28","diarrhoea_cases",1669
"Bomet","2022-08-28","stunted_child",215
"Bomet","2022-09-25","total_dewormed",895
"Bomet","2022-09-25","underweight_child",235
"Bomet","2022-09-25","acute_malnutrition",5
"Bomet","2022-09-25","diarrhoea_cases",1377
"Bomet","2022-09-25","stunted_child",51
"Bomet","2022-10-30","total_dewormed",825
"Bomet","2022-10-30","underweight_child",168
"Bomet","2022-10-30","acute_malnutrition",5.2
"Bomet","2022-10-30","diarrhoea_cases",1276
"Bomet","2022-10-30","stunted_child",16
"Bomet","2022-11-27","total_dewormed",616
"Bomet","2022-11-27","underweight_child",169
"Bomet","2022-11-27","acute_malnutrition",2
"Bomet","2022-11-27","diarrhoea_cases",1309
"Bomet","2022-11-27","stunted_child",10
"Bomet","2020-12-27","total_dewormed",1306
"Bomet","2020-12-27","underweight_child",187
"Bomet","2020-12-27","acute_malnutrition",17.8
"Bomet","2020-12-27","diarrhoea_cases",4255
"Bomet","2020-12-27","stunted_child",90
"Bomet","2021-01-31","total_dewormed",1428
"Bomet","2021-01-31","underweight_child",100
"Bomet","2021-01-31","acute_malnutrition",19.2
"Bomet","2021-01-31","diarrhoea_cases",3691
"Bomet","2021-01-31","stunted_child",19
"Bomet","2021-02-28","total_dewormed",1291
"Bomet","2021-02-28","underweight_child",220
"Bomet","2021-02-28","acute_malnutrition",19.8
"Bomet","2021-02-28","diarrhoea_cases",2582
"Bomet","2021-02-28","stunted_child",131.8
"Bomet","2021-03-28","total_dewormed",944
"Bomet","2021-03-28","underweight_child",210
"Bomet","2021-03-28","acute_malnutrition",21.6
"Bomet","2021-03-28","diarrhoea_cases",2336
"Bomet","2021-03-28","stunted_child",108.6
"Bomet","2021-04-25","total_dewormed",1336
"Bomet","2021-04-25","underweight_child",178
"Bomet","2021-04-25","acute_malnutrition",11.4
"Bomet","2021-04-25","diarrhoea_cases",2201
"Bomet","2021-04-25","stunted_child",17
"Bomet","2021-05-30","total_dewormed",2022
"Bomet","2021-05-30","underweight_child",161
"Bomet","2021-05-30","acute_malnutrition",23.4
"Bomet","2021-05-30","diarrhoea_cases",2428
"Bomet","2021-05-30","stunted_child",7
"Bomet","2021-06-27","total_dewormed",1362
"Bomet","2021-06-27","underweight_child",195
"Bomet","2021-06-27","acute_malnutrition",10
"Bomet","2021-06-27","diarrhoea_cases",3075
"Bomet","2021-06-27","stunted_child",28
"Bomet","2021-08-01","total_dewormed",938
"Bomet","2021-08-01","underweight_child",275
"Bomet","2021-08-01","acute_malnutrition",18.2
"Bomet","2021-08-01","diarrhoea_cases",2682
"Bomet","2021-08-01","stunted_child",148.4
"Bomet","2021-08-29","total_dewormed",1180
"Bomet","2021-08-29","underweight_child",195
"Bomet","2021-08-29","acute_malnutrition",19.2
"Bomet","2021-08-29","diarrhoea_cases",2303
"Bomet","2021-08-29","stunted_child",27
"Bomet","2021-09-26","total_dewormed",1409
"Bomet","2021-09-26","underweight_child",238
"Bomet","2021-09-26","acute_malnutrition",25.2
"Bomet","2021-09-26","diarrhoea_cases",2384
"Bomet","2021-09-26","stunted_child",101
"Bomet","2021-10-31","total_dewormed",4106
"Bomet","2021-10-31","underweight_child",285
"Bomet","2021-10-31","acute_malnutrition",14.8
"Bomet","2021-10-31","diarrhoea_cases",3002
"Bomet","2021-10-31","stunted_child",110.8
"Bomet","2021-11-28","total_dewormed",3218
"Bomet","2021-11-28","underweight_child",208
"Bomet","2021-11-28","acute_malnutrition",14.8
"Bomet","2021-11-28","diarrhoea_cases",3125
"Bomet","2021-11-28","stunted_child",121.4
"Bungoma","2023-01-01","total_dewormed",6590
"Bungoma","2023-01-01","underweight_child",666
"Bungoma","2023-01-01","acute_malnutrition",24
"Bungoma","2023-01-01","diarrhoea_cases",4576
"Bungoma","2023-01-01","stunted_child",275
"Bungoma","2023-01-29","total_dewormed",5897
"Bungoma","2023-01-29","underweight_child",855
"Bungoma","2023-01-29","acute_malnutrition",31
"Bungoma","2023-01-29","diarrhoea_cases",5164
"Bungoma","2023-01-29","stunted_child",531
"Bungoma","2023-02-26","total_dewormed",7070
"Bungoma","2023-02-26","underweight_child",793
"Bungoma","2023-02-26","acute_malnutrition",1
"Bungoma","2023-02-26","diarrhoea_cases",4276
"Bungoma","2023-02-26","stunted_child",212
"Bungoma","2023-03-26","total_dewormed",7933
"Bungoma","2023-03-26","underweight_child",809
"Bungoma","2023-03-26","acute_malnutrition",100.4
"Bungoma","2023-03-26","diarrhoea_cases",3144
"Bungoma","2023-03-26","stunted_child",251
"Bungoma","2023-04-30","total_dewormed",26522
"Bungoma","2023-04-30","underweight_child",943
"Bungoma","2023-04-30","acute_malnutrition",6
"Bungoma","2023-04-30","diarrhoea_cases",3098
"Bungoma","2023-04-30","stunted_child",447
"Bungoma","2023-05-28","total_dewormed",6314
"Bungoma","2023-05-28","underweight_child",806
"Bungoma","2023-05-28","acute_malnutrition",7
"Bungoma","2023-05-28","diarrhoea_cases",2500
"Bungoma","2023-05-28","stunted_child",164
"Bungoma","2021-12-26","total_dewormed",4344
"Bungoma","2021-12-26","underweight_child",509
"Bungoma","2021-12-26","acute_malnutrition",34
"Bungoma","2021-12-26","diarrhoea_cases",3731
"Bungoma","2021-12-26","stunted_child",120
"Bungoma","2022-01-30","total_dewormed",39477
"Bungoma","2022-01-30","underweight_child",1020
"Bungoma","2022-01-30","acute_malnutrition",1
"Bungoma","2022-01-30","diarrhoea_cases",4058
"Bungoma","2022-01-30","stunted_child",245
"Bungoma","2022-02-27","total_dewormed",7919
"Bungoma","2022-02-27","underweight_child",913
"Bungoma","2022-02-27","acute_malnutrition",71
"Bungoma","2022-02-27","diarrhoea_cases",4647
"Bungoma","2022-02-27","stunted_child",277
"Bungoma","2022-03-27","total_dewormed",6717
"Bungoma","2022-03-27","underweight_child",826
"Bungoma","2022-03-27","acute_malnutrition",79.6
"Bungoma","2022-03-27","diarrhoea_cases",3471
"Bungoma","2022-03-27","stunted_child",175
"Bungoma","2022-05-01","total_dewormed",6632
"Bungoma","2022-05-01","underweight_child",1222
"Bungoma","2022-05-01","acute_malnutrition",93.4
"Bungoma","2022-05-01","diarrhoea_cases",3182
"Bungoma","2022-05-01","stunted_child",287
"Bungoma","2022-05-29","total_dewormed",22007
"Bungoma","2022-05-29","underweight_child",804
"Bungoma","2022-05-29","acute_malnutrition",1
"Bungoma","2022-05-29","diarrhoea_cases",3156
"Bungoma","2022-05-29","stunted_child",160
"Bungoma","2022-06-26","total_dewormed",7085
"Bungoma","2022-06-26","underweight_child",594
"Bungoma","2022-06-26","acute_malnutrition",2
"Bungoma","2022-06-26","diarrhoea_cases",2309
"Bungoma","2022-06-26","stunted_child",192
"Bungoma","2022-07-31","total_dewormed",6300
"Bungoma","2022-07-31","underweight_child",748
"Bungoma","2022-07-31","acute_malnutrition",2
"Bungoma","2022-07-31","diarrhoea_cases",2307
"Bungoma","2022-07-31","stunted_child",245
"Bungoma","2022-08-28","total_dewormed",6669
"Bungoma","2022-08-28","underweight_child",592
"Bungoma","2022-08-28","acute_malnutrition",14
"Bungoma","2022-08-28","diarrhoea_cases",2300
"Bungoma","2022-08-28","stunted_child",149
"Bungoma","2022-09-25","total_dewormed",7073
"Bungoma","2022-09-25","underweight_child",893
"Bungoma","2022-09-25","acute_malnutrition",7
"Bungoma","2022-09-25","diarrhoea_cases",2331
"Bungoma","2022-09-25","stunted_child",196
"Bungoma","2022-10-30","total_dewormed",13741
"Bungoma","2022-10-30","underweight_child",796
"Bungoma","2022-10-30","acute_malnutrition",18
"Bungoma","2022-10-30","diarrhoea_cases",2482
"Bungoma","2022-10-30","stunted_child",276
"Bungoma","2022-11-27","total_dewormed",10437
"Bungoma","2022-11-27","underweight_child",719
"Bungoma","2022-11-27","acute_malnutrition",18
"Bungoma","2022-11-27","diarrhoea_cases",2799
"Bungoma","2022-11-27","stunted_child",162
"Bungoma","2020-12-27","total_dewormed",4367
"Bungoma","2020-12-27","underweight_child",398
"Bungoma","2020-12-27","acute_malnutrition",20.4
"Bungoma","2020-12-27","diarrhoea_cases",2045
"Bungoma","2020-12-27","stunted_child",112
"Bungoma","2021-01-31","total_dewormed",7537
"Bungoma","2021-01-31","underweight_child",901
"Bungoma","2021-01-31","acute_malnutrition",48.8
"Bungoma","2021-01-31","diarrhoea_cases",3582
"Bungoma","2021-01-31","stunted_child",225
"Bungoma","2021-02-28","total_dewormed",11159
"Bungoma","2021-02-28","underweight_child",1105
"Bungoma","2021-02-28","acute_malnutrition",136.2
"Bungoma","2021-02-28","diarrhoea_cases",3464
"Bungoma","2021-02-28","stunted_child",191
"Bungoma","2021-03-28","total_dewormed",7186
"Bungoma","2021-03-28","underweight_child",708
"Bungoma","2021-03-28","acute_malnutrition",34.6
"Bungoma","2021-03-28","diarrhoea_cases",2886
"Bungoma","2021-03-28","stunted_child",323
"Bungoma","2021-04-25","total_dewormed",9139
"Bungoma","2021-04-25","underweight_child",936
"Bungoma","2021-04-25","acute_malnutrition",49
"Bungoma","2021-04-25","diarrhoea_cases",3033
"Bungoma","2021-04-25","stunted_child",373
"Bungoma","2021-05-30","total_dewormed",11934
"Bungoma","2021-05-30","underweight_child",1298
"Bungoma","2021-05-30","acute_malnutrition",181.8
"Bungoma","2021-05-30","diarrhoea_cases",2888
"Bungoma","2021-05-30","stunted_child",292
"Bungoma","2021-06-27","total_dewormed",7558
"Bungoma","2021-06-27","underweight_child",814
"Bungoma","2021-06-27","acute_malnutrition",97.6
"Bungoma","2021-06-27","diarrhoea_cases",2037
"Bungoma","2021-06-27","stunted_child",422
"Bungoma","2021-08-01","total_dewormed",9795
"Bungoma","2021-08-01","underweight_child",978
"Bungoma","2021-08-01","acute_malnutrition",54.6
"Bungoma","2021-08-01","diarrhoea_cases",2906
"Bungoma","2021-08-01","stunted_child",239
"Bungoma","2021-08-29","total_dewormed",8857
"Bungoma","2021-08-29","underweight_child",1048
"Bungoma","2021-08-29","acute_malnutrition",170.4
"Bungoma","2021-08-29","diarrhoea_cases",2615
"Bungoma","2021-08-29","stunted_child",239
"Bungoma","2021-09-26","total_dewormed",8434
"Bungoma","2021-09-26","underweight_child",1011
"Bungoma","2021-09-26","acute_malnutrition",194.6
"Bungoma","2021-09-26","diarrhoea_cases",2115
"Bungoma","2021-09-26","stunted_child",463
"Bungoma","2021-10-31","total_dewormed",8969
"Bungoma","2021-10-31","underweight_child",586
"Bungoma","2021-10-31","acute_malnutrition",19.2
"Bungoma","2021-10-31","diarrhoea_cases",2382
"Bungoma","2021-10-31","stunted_child",159
"Bungoma","2021-11-28","total_dewormed",145466
"Bungoma","2021-11-28","underweight_child",697
"Bungoma","2021-11-28","acute_malnutrition",101.6
"Bungoma","2021-11-28","diarrhoea_cases",2949
"Bungoma","2021-11-28","stunted_child",136
"Busia","2023-01-01","total_dewormed",7564
"Busia","2023-01-01","underweight_child",984
"Busia","2023-01-01","acute_malnutrition",20
"Busia","2023-01-01","diarrhoea_cases",2239
"Busia","2023-01-01","stunted_child",650
"Busia","2023-01-29","total_dewormed",3577
"Busia","2023-01-29","underweight_child",882
"Busia","2023-01-29","acute_malnutrition",80.6
"Busia","2023-01-29","diarrhoea_cases",2004
"Busia","2023-01-29","stunted_child",648
"Busia","2023-02-26","total_dewormed",4429
"Busia","2023-02-26","underweight_child",1065
"Busia","2023-02-26","acute_malnutrition",79.8
"Busia","2023-02-26","diarrhoea_cases",2022
"Busia","2023-02-26","stunted_child",746
"Busia","2023-03-26","total_dewormed",3725
"Busia","2023-03-26","underweight_child",930
"Busia","2023-03-26","acute_malnutrition",71.8
"Busia","2023-03-26","diarrhoea_cases",1981
"Busia","2023-03-26","stunted_child",1017
"Busia","2023-04-30","total_dewormed",4454
"Busia","2023-04-30","underweight_child",1222
"Busia","2023-04-30","acute_malnutrition",1
"Busia","2023-04-30","diarrhoea_cases",1930
"Busia","2023-04-30","stunted_child",961
"Busia","2023-05-28","total_dewormed",4356
"Busia","2023-05-28","underweight_child",1056
"Busia","2023-05-28","acute_malnutrition",1
"Busia","2023-05-28","diarrhoea_cases",1514
"Busia","2023-05-28","stunted_child",758
"Busia","2021-12-26","total_dewormed",3734
"Busia","2021-12-26","underweight_child",743
"Busia","2021-12-26","acute_malnutrition",50.2
"Busia","2021-12-26","diarrhoea_cases",1842
"Busia","2021-12-26","stunted_child",447
"Busia","2022-01-30","total_dewormed",3585
"Busia","2022-01-30","underweight_child",706
"Busia","2022-01-30","acute_malnutrition",73
"Busia","2022-01-30","diarrhoea_cases",2097
"Busia","2022-01-30","stunted_child",429
"Busia","2022-02-27","total_dewormed",4024
"Busia","2022-02-27","underweight_child",931
"Busia","2022-02-27","acute_malnutrition",2
"Busia","2022-02-27","diarrhoea_cases",2203
"Busia","2022-02-27","stunted_child",476
"Busia","2022-03-27","total_dewormed",3481
"Busia","2022-03-27","underweight_child",900
"Busia","2022-03-27","acute_malnutrition",2
"Busia","2022-03-27","diarrhoea_cases",1780
"Busia","2022-03-27","stunted_child",577
"Busia","2022-05-01","total_dewormed",4739
"Busia","2022-05-01","underweight_child",936
"Busia","2022-05-01","acute_malnutrition",10.4
"Busia","2022-05-01","diarrhoea_cases",2001
"Busia","2022-05-01","stunted_child",548
"Busia","2022-05-29","total_dewormed",4358
"Busia","2022-05-29","underweight_child",1130
"Busia","2022-05-29","acute_malnutrition",1
"Busia","2022-05-29","diarrhoea_cases",1834
"Busia","2022-05-29","stunted_child",667
"Busia","2022-06-26","total_dewormed",3520
"Busia","2022-06-26","underweight_child",1209
"Busia","2022-06-26","acute_malnutrition",32.2
"Busia","2022-06-26","diarrhoea_cases",1440
"Busia","2022-06-26","stunted_child",547
"Busia","2022-07-31","total_dewormed",3229
"Busia","2022-07-31","underweight_child",898
"Busia","2022-07-31","acute_malnutrition",2
"Busia","2022-07-31","diarrhoea_cases",1357
"Busia","2022-07-31","stunted_child",856
"Busia","2022-08-28","total_dewormed",4084
"Busia","2022-08-28","underweight_child",901
"Busia","2022-08-28","acute_malnutrition",19.2
"Busia","2022-08-28","diarrhoea_cases",1411
"Busia","2022-08-28","stunted_child",699
"Busia","2022-09-25","total_dewormed",3632
"Busia","2022-09-25","underweight_child",940
"Busia","2022-09-25","acute_malnutrition",2
"Busia","2022-09-25","diarrhoea_cases",1424
"Busia","2022-09-25","stunted_child",576
"Busia","2022-10-30","total_dewormed",4413
"Busia","2022-10-30","underweight_child",946
"Busia","2022-10-30","acute_malnutrition",8.4
"Busia","2022-10-30","diarrhoea_cases",1662
"Busia","2022-10-30","stunted_child",708
"Busia","2022-11-27","total_dewormed",3565
"Busia","2022-11-27","underweight_child",802
"Busia","2022-11-27","acute_malnutrition",34.2
"Busia","2022-11-27","diarrhoea_cases",1512
"Busia","2022-11-27","stunted_child",495
"Busia","2020-12-27","total_dewormed",885
"Busia","2020-12-27","underweight_child",153
"Busia","2020-12-27","acute_malnutrition",22.8
"Busia","2020-12-27","diarrhoea_cases",514
"Busia","2020-12-27","stunted_child",1039
"Busia","2021-01-31","total_dewormed",1937
"Busia","2021-01-31","underweight_child",327
"Busia","2021-01-31","acute_malnutrition",3
"Busia","2021-01-31","diarrhoea_cases",737
"Busia","2021-01-31","stunted_child",172
"Busia","2021-02-28","total_dewormed",9630
"Busia","2021-02-28","underweight_child",1172
"Busia","2021-02-28","acute_malnutrition",20
"Busia","2021-02-28","diarrhoea_cases",2147
"Busia","2021-02-28","stunted_child",517
"Busia","2021-03-28","total_dewormed",4997
"Busia","2021-03-28","underweight_child",926
"Busia","2021-03-28","acute_malnutrition",20
"Busia","2021-03-28","diarrhoea_cases",1465
"Busia","2021-03-28","stunted_child",580
"Busia","2021-04-25","total_dewormed",5059
"Busia","2021-04-25","underweight_child",756
"Busia","2021-04-25","acute_malnutrition",14
"Busia","2021-04-25","diarrhoea_cases",1719
"Busia","2021-04-25","stunted_child",395
"Busia","2021-05-30","total_dewormed",8405
"Busia","2021-05-30","underweight_child",1088
"Busia","2021-05-30","acute_malnutrition",8
"Busia","2021-05-30","diarrhoea_cases",1743
"Busia","2021-05-30","stunted_child",458
"Busia","2021-06-27","total_dewormed",4014
"Busia","2021-06-27","underweight_child",689
"Busia","2021-06-27","acute_malnutrition",4
"Busia","2021-06-27","diarrhoea_cases",1576
"Busia","2021-06-27","stunted_child",346
"Busia","2021-08-01","total_dewormed",3875
"Busia","2021-08-01","underweight_child",762
"Busia","2021-08-01","acute_malnutrition",5
"Busia","2021-08-01","diarrhoea_cases",1539
"Busia","2021-08-01","stunted_child",385
"Busia","2021-08-29","total_dewormed",4273
"Busia","2021-08-29","underweight_child",1785
"Busia","2021-08-29","acute_malnutrition",269.6
"Busia","2021-08-29","diarrhoea_cases",1858
"Busia","2021-08-29","stunted_child",584
"Busia","2021-09-26","total_dewormed",4228
"Busia","2021-09-26","underweight_child",1373
"Busia","2021-09-26","acute_malnutrition",230.6
"Busia","2021-09-26","diarrhoea_cases",1664
"Busia","2021-09-26","stunted_child",345
"Busia","2021-10-31","total_dewormed",4356
"Busia","2021-10-31","underweight_child",896
"Busia","2021-10-31","acute_malnutrition",2
"Busia","2021-10-31","diarrhoea_cases",1841
"Busia","2021-10-31","stunted_child",393
"Busia","2021-11-28","total_dewormed",5232
"Busia","2021-11-28","underweight_child",838
"Busia","2021-11-28","acute_malnutrition",109.2
"Busia","2021-11-28","diarrhoea_cases",1638
"Busia","2021-11-28","stunted_child",363
